Matt,Carroll,-0.2
Jimmy,Carruth,0.0
Anthony,Carter,0.2
Butch,Carter,0.1
Fred,Carter,1.8
George,Carter,0.3
Howard,Carter,-0.6
Jake,Carter,0
Jevon,Carter,0.0
Maurice,Carter,-0.2
Reggie,Carter,-0.6
Ron,Carter,-0.4
Vince,Carter,57.9
Wendell,Carter,0.0
Michael,Carter-Williams,2.5
Bill,Cartwright,9.7
Jay,Carty,0
Alex,Caruso,0.6
Cornelius,Cash,-0.1
Sam,Cash,0
Sam,Cassell,28.8
Omri,Casspi,3.5
Harvey,Catchings,4.1
Terry,Catledge,-2.0
Sid,Catlett,0
Kelvin,Cato,4.5
Bobby,Cattage,-0.6
Willie,Cauley-Stein,4.3
Troy,Caupain,0.1
Duane,Causwell,-0.7
Tyler,Cavanaugh,-0.1
Ron,Cavenall,-0.7
Cedric,Ceballos,10.0
John,Celestand,-0.3
Al,Cervi,0
Lionel,Chalmers,-0.4
Mario,Chalmers,5.9
Bill,Chamberlain,0.1
Wilt,Chamberlain,0
Jerry,Chambers,0.2
Tom,Chambers,12.0
Mike,Champion,-0.1
Tyson,Chandler,16.9
Wilson,Chandler,3.5
Don,Chaney,4.1
John,Chaney,0
Rex,Chapman,5.2
Wayne,Chapman,0
Len,Chappell,0
Ken,Charles,2.0
Lorenzo,Charles,0.0
Joe,Chealey,-0.1
Calbert,Cheaney,-2.9
Zylan,Cheatham,-0.1
Maurice,Cheeks,42.1
Phil,Chenier,11.5
Will,Cherry,-0.1
Derrick,Chievous,-0.7
Pete,Chilcutt,0.3
Josh,Childress,7.4
Randolph,Childress,-0.4
Chris,Childs,2.9
Chris,Chiozza,0.2
Leroy,Chollet,0
Jim,Chones,6.0
Marquese,Chriss,-0.3
Fred,Christ,0
Cal,Christensen,0
Bob,Christian,0.0
Doug,Christie,20.7
Dionte,Christmas,0.0
Rakeem,Christmas,-0.2
Semaj,Christon,-0.8
Patrick,Christopher,-0.1
Stephen,Chubin,0
Robert,Churchwell,0.0
Archie,Clark,2.4
Carlos,Clark,0.0
Earl,Clark,-0.8
Gary,Clark,0.2
Ian,Clark,-1.3
Keon,Clark,2.6
Richard,Clark,0
Brandon,Clarke,1.5
Coty,Clarke,0.0
Jordan,Clarkson,3.9
Gian,Clavell,0.0
Victor,Claver,-0.4
John,Clawson,0
Charles,Claxton,0.0
Nicolas,Claxton,0.1
Speedy,Claxton,3.6
Jim,Cleamons,6.6
Mateen,Cleaves,-1.7
Barry,Clemens,0.7
Chris,Clemons,0.1
Antonius,Cleveland,-0.1
Nat,Clifton,0
Bill,Closs,0
Keith,Closs,0.0
Paul,Cloyd,0
Bob,Cluggish,0
Ben,Clyde,-0.1
Amir,Coffey,-0.1
Richard,Coffey,-0.4
Fred,Cofield,-0.3
John,Coker,-0.1
Norris,Cole,-4.1
Ben,Coleman,-1.3
Derrick,Coleman,22.3
E.C.,Coleman,0.0
Jack,Coleman,0
Norris,Coleman,-0.6
Bimbo,Coles,1.9
Jason,Collier,-1.9
Art,Collins,-0.4
Don,Collins,3.5
Doug,Collins,8.4
James,Collins,0.0
Jarron,Collins,-2.5
Jason,Collins,-6.6
Jimmy,Collins,0
John,Collins,3.9
Mardy,Collins,-1.7
Sherron,Collins,-0.1
Zach,Collins,-0.3
Kyle,Collinsworth,-0.1
Darren,Collison,13.5
Nick,Collison,3.1
Joe,Colone,0
Bonzie,Colson,0.0
Sean,Colson,-0.1
Steve,Colter,4.4
Glen,Combs,0.2
Leroy,Combs,0.1
John,Comeaux,0
Dallas,Comegys,-0.9
Larry,Comley,0
Jeffrey,Congdon,0
Gene,Conley,0
Larry,Conley,0
Mike,Conley,29.3
Ed,Conlin,0
Marty,Conlon,-1.1
Pat,Connaughton,1.7
Jimmy,Conner,0.1
Lester,Conner,11.3
Chuck,Connors,0
Will,Conroy,-0.3
Anthony,Cook,-0.7
Bert,Cook,0
Bobby,Cook,0
Brian,Cook,0.5
Daequan,Cook,-1.1
Darwin,Cook,9.4
Jeff,Cook,1.6
Norm,Cook,-0.1
Omar,Cook,0.0
Quinn,Cook,-0.1
Tyler,Cook,0.0
Charles,Cooke,-0.1
David,Cooke,0.0
Joe,Cooke,0
Jack,Cooley,0.0
Chuck,Cooper,0
Duane,Cooper,-0.8
Joe,Cooper,-0.2
Michael,Cooper,19.1
Wayne,Cooper,-1.4
Tom,Copa,-0.1
Chris,Copeland,0.2
Hollis,Copeland,0.0
Lanard,Copeland,-0.3
Tyrone,Corbin,11.9
Chris,Corchiani,0.1
Ken,Corley,0
Ray,Corley,0
Dave,Corzine,7.0
Larry,Costello,0
Matt,Costello,0.0
Bryce,Cotton,-0.1
Jack,Cotton,0
James,Cotton,-0.1
John,Coughran,-0.3
Mel,Counts,0.8
Steve,Courtin,0
Joe,Courtney,-0.8
Marcus,Cousin,0.0
DeMarcus,Cousins,21.1
Bob,Cousy,0
Robert,Covington,7.4
Dave,Cowens,21.5
Chubby,Cox,-0.2
Johnny,Cox,0
Wesley,Cox,-0.9
Allen,Crabbe,0.9
Torrey,Craig,-0.1
Chris,Crawford,-0.6
Freddie,Crawford,0
Jamal,Crawford,18.4
Joe,Crawford,0.0
Jordan,Crawford,1.3
Mitch,Creek,0.1
Jim,Creighton,-0.2
Ron,Crevier,0.0
Hal,Crisler,0
Joe,Crispin,0.2
Charlie,Criss,2.0
Russell,Critchfield,0
Winston,Crite,-0.2
Javaris,Crittenton,-1.0
Dillard,Crocker,0
Bobby,Croft,0
Geoff,Crompton,-0.4
Terry,Crosby,0.0
Austin,Croshere,5.6
Jeff,Cross,-0.3
Pete,Cross,0
Russell,Cross,0.1
Chink,Crossin,0
John,Crotty,1.2
Bill,Crow,0
Mark,Crow,0.0
Corey,Crowder,-0.2
