268.1 Kevin Garnett, Kevin Durant, Kevin Johnson, Kevin McHale, Kevin Love
16.1 Norm Nixon, Norm Van Lier, Norm Baker, Norm Grekin, Norm Mager
16.1 Ryan Anderson, Ryan Bowen, Ryan Gomes, Ryan Broekhoff, Ryan Reid
16.1 Tracy Murray, Jamal Murray, Lamond Murray, Dejounte Murray, Ken Murray
15.1 Chuck Person, Chuck Hayes, Chuck Williams, Chuck Connors, Chuck Cooper
15.1 Jameer Nelson, Don Nelson, Louie Nelson, Barry Nelson, Ron Nelson
15.1 Doug Collins, John Collins, Don Collins, James Collins, Jimmy Collins
15.1 Cliff Levingston, Cliff Robinson, Cliff Pondexter, Cliff Alexander, Cliff Anderson
15.1 Richard Hamilton, Jordan Hamilton, Joe Hamilton, Justin Hamilton, Dale Hamilton
14.1 Walt Frazier, Will Frazier, Michael Frazier, Melvin Frazier, Tim Frazier
14.1 Corey Maggette, Corey Brewer, Corey Gaines, Corey Crowder, Corey Beck
14.1 Scott Brooks, Michael Brooks, Aaron Brooks, MarShon Brooks, Brooks Thompson
14.1 Spencer Haywood, Spencer Dinwiddie, Spencer Hawes, Andre Spencer, Elmore Spencer
14.1 Rich Kelley, Rich Jones, Rich Yonakor, Rich Dumas, Rich Eichhorst
14.1 Grant Long, John Long, Shawn Long, Paul Long, Willie Long
13.1 Antonio Daniels, Marquis Daniels, Mel Daniels, Lloyd Daniels, Erik Daniels
13.1 Kirk Hinrich, Kirk Snyder, Alex Kirk, Walt Kirk, Kirk Penney
13.1 Jeremy Lamb, Jeremy Lin, Jeremy Evans, Jeremy Richardson, Jeremy Pargo
13.1 Jay Humphries, Jay Vincent, Jay Arnette, Jay Carty, Jay Edwards
13.1 Sean Elliott, Sean May, Sean Lampley, Sean Colson, Sean Singletary
13.1 Jared Dudley, Jared Sullinger, Jared Harper, Jared Terrell, Jared Cunningham
12.1 Gerald Henderson, Tom Henderson, Alan Henderson, Gerald Henderson, Cedric Henderson
12.1 Larry Hughes, Kim Hughes, Eddie Hughes, Rick Hughes, Alfredrick Hughes
12.1 Wally Szczerbiak, Wally Anderzunas, Wally Osterkorn, Wally Rank, Wally Walker
12.1 Clark Kellogg, Keon Clark, Archie Clark, Gary Clark, Carlos Clark
12.1 Jalen Rose, Jalen Brunson, Jalen Lecque, Jalen McDaniels, Jalen Jones
12.1 Luke Ridnour, Luke Walton, Luke Kennard, Luke Kornet, Luke Jackson
12.1 Travis Best, Travis Grant, Travis Outlaw, Travis Diener, Travis Leslie
12.1 Tyrone Corbin, Tyrone Hill, Tyrone Nesby, Tyrone Britt, Tyrone Wallace
